signal_id	file	page_guess	signal_type	excerpt	note
SIG-000001	SOURCE_CANON/step3_canonical/page-0001.txt	0001	KOLOM_STRUCTUUR_ONZEKER	| la _ /».Q	separator-like line
SIG-000002	SOURCE_CANON/step3_canonical/page-0001.txt	0001	KOLOM_STRUCTUUR_ONZEKER	n Per E AA . 'O','.Q! xo...Q,	separator-like line
SIG-000003	SOURCE_CANON/step3_canonical/page-0001.txt	0001	KOLOM_STRUCTUUR_ONZEKER	|EMG | ... .r.”/,.Q	separator-like line
SIG-000004	SOURCE_CANON/step3_canonical/page-0001.txt	0001	KOLOM_STRUCTUUR_ONZEKER	"x____...' « , »- ——b . D '-V'_- _.__'__“.1 __'_' ;—,N P)	separator-like line
SIG-000005	SOURCE_CANON/step3_canonical/page-0002.txt	0002	ABRUPT_END	XXiVv MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000006	SOURCE_CANON/step3_canonical/page-0003.txt	0003	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO — XXV	last non-empty line lacks terminal punctuation
SIG-000007	SOURCE_CANON/step3_canonical/page-0003.txt	0003	REFERENTIE_ZONDER_DOEL	Berthemakan ,,berdiri diatas kaki sendiri”, terutama dibidang	reference word without nearby table markers
SIG-000008	SOURCE_CANON/step3_canonical/page-0003.txt	0003	REFERENTIE_ZONDER_DOEL	seluruh rakjat, sekalipun diusahakan kenaikan dengan djalan diatas.	reference word without nearby table markers
SIG-000009	SOURCE_CANON/step3_canonical/page-0003.txt	0003	REFERENTIE_ZONDER_DOEL	menu pedoman untuk karbohidrat seorang setahun sebagai berikut:	reference word without nearby table markers
SIG-000010	SOURCE_CANON/step3_canonical/page-0003.txt	0003	REFERENTIE_ZONDER_DOEL	menu rakjat diatas.	reference word without nearby table markers
SIG-000011	SOURCE_CANON/step3_canonical/page-0004.txt	0004	REFERENTIE_ZONDER_DOEL	Untuk tahun 1965 direntjanakan produksi sebagai berikut:	reference word without nearby table markers
SIG-000012	SOURCE_CANON/step3_canonical/page-0004.txt	0004	KOLOM_STRUCTUUR_ONZEKER	mendjamin kesehatan badan. |	separator-like line
SIG-000013	SOURCE_CANON/step3_canonical/page-0005.txt	0005	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO — xxvii	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000014	SOURCE_CANON/step3_canonical/page-0005.txt	0005	KOLOM_STRUCTUUR_ONZEKER	interdepartemental. |	separator-like line
SIG-000015	SOURCE_CANON/step3_canonical/page-0006.txt	0006	ABRUPTE_START	sekali tidak diterima kembali dan djika ada jang diterima, mutu dari	first non-empty line starts with lowercase
SIG-000016	SOURCE_CANON/step3_canonical/page-0006.txt	0006	ABRUPT_END	XXX MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000017	SOURCE_CANON/step3_canonical/page-0007.txt	0007	ABRUPTE_START	,..'… v . — E ".' -' 0	first non-empty line starts with punctuation
SIG-000018	SOURCE_CANON/step3_canonical/page-0007.txt	0007	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO XXXi	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000019	SOURCE_CANON/step3_canonical/page-0007.txt	0007	KOLOM_STRUCTUUR_ONZEKER	! l' B B | ?	separator-like line
SIG-000020	SOURCE_CANON/step3_canonical/page-0008.txt	0008	ABRUPTE_START	i :'";“_ -u *.	first non-empty line starts with lowercase
SIG-000021	SOURCE_CANON/step3_canonical/page-0008.txt	0008	ABRUPT_END	1. Tumpeng untuk Selamatan	last non-empty line lacks terminal punctuation
SIG-000022	SOURCE_CANON/step3_canonical/page-0008.txt	0008	KOLOM_STRUCTUUR_ONZEKER	“ ) | - .	separator-like line
SIG-000023	SOURCE_CANON/step3_canonical/page-0009.txt	0009	ABRUPT_END	PEMASAKAN MAKANAN	last non-empty line lacks terminal punctuation
SIG-000024	SOURCE_CANON/step3_canonical/page-0010.txt	0010	ABRUPT_END	RESEP MASAKAN INDONESIA WARISANSUKARNO 3	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000025	SOURCE_CANON/step3_canonical/page-0010.txt	0010	REFERENTIE_ZONDER_DOEL	tersebut diatas, untuk menimbulkan dan menambah selera untuk	reference word without nearby table markers
SIG-000026	SOURCE_CANON/step3_canonical/page-0011.txt	0011	ABRUPTE_START	dibutuhkan lagi beberapa djenis bahan makanan jang menjegarkan	first non-empty line starts with lowercase
SIG-000027	SOURCE_CANON/step3_canonical/page-0011.txt	0011	ABRUPT_END	4 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000028	SOURCE_CANON/step3_canonical/page-0012.txt	0012	ABRUPTE_START	banjak terbalut selaput aleuron, jang mengandung vitamin B1 atau	first non-empty line starts with lowercase
SIG-000029	SOURCE_CANON/step3_canonical/page-0012.txt	0012	ABRUPT_END	RESEP MASAKAN INDONESIA WARISANSUKARNO $	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000030	SOURCE_CANON/step3_canonical/page-0012.txt	0012	REFERENTIE_ZONDER_DOEL	diatas tadi. Warna kelabu atau abu2 menandakan, bahwa beras itu	reference word without nearby table markers
SIG-000031	SOURCE_CANON/step3_canonical/page-0013.txt	0013	ABRUPTE_START	beras jang menggumpal keras sehingga sukar dimasukkan tangan	first non-empty line starts with lowercase
SIG-000032	SOURCE_CANON/step3_canonical/page-0013.txt	0013	ABRUPT_END	6 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000033	SOURCE_CANON/step3_canonical/page-0014.txt	0014	ABRUPTE_START	dalam air. Dari itu dinasehatkan agar mentjutji beras itu didjalankan	first non-empty line starts with lowercase
SIG-000034	SOURCE_CANON/step3_canonical/page-0014.txt	0014	ABRUPT_END	RESEP MASAKAN INDONESIA WARISANSUKARNO 7	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000035	SOURCE_CANON/step3_canonical/page-0014.txt	0014	REFERENTIE_ZONDER_DOEL	kembali meliwati nasi ke air jang ada dibawah nasi. Dengan demikian	reference word without nearby table markers
SIG-000036	SOURCE_CANON/step3_canonical/page-0014.txt	0014	REFERENTIE_ZONDER_DOEL	djari diatas beras dan djika diingini nasi jang lembekan, boleh air itu	reference word without nearby table markers
SIG-000037	SOURCE_CANON/step3_canonical/page-0015.txt	0015	ABRUPTE_START	putih, air kentjur dan air laos, dan kemudian didjemur kering.	first non-empty line starts with lowercase
SIG-000038	SOURCE_CANON/step3_canonical/page-0015.txt	0015	ABRUPT_END	8 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000039	SOURCE_CANON/step3_canonical/page-0016.txt	0016	ABRUPTE_START	dsb., jang warna bumbunja djuga kuning.	first non-empty line starts with lowercase
SIG-000040	SOURCE_CANON/step3_canonical/page-0016.txt	0016	ABRUPT_END	RESEP MASAKAN INDONESIA WARISANSUKARNO 9	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000041	SOURCE_CANON/step3_canonical/page-0016.txt	0016	REFERENTIE_ZONDER_DOEL	diatas tungku dapur, supaja terbalut creosoot dari hasap jang keluar	reference word without nearby table markers
SIG-000042	SOURCE_CANON/step3_canonical/page-0016.txt	0016	REFERENTIE_ZONDER_DOEL	keadaan terang tjuatja, djagung dalam kelobot disimpan diatas rak	reference word without nearby table markers
SIG-000043	SOURCE_CANON/step3_canonical/page-0017.txt	0017	ABRUPTE_START	tepung ini agak kuning, karena banjak mengandung bekatul. Gluten	first non-empty line starts with lowercase
SIG-000044	SOURCE_CANON/step3_canonical/page-0017.txt	0017	ABRUPT_END	10 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000045	SOURCE_CANON/step3_canonical/page-0018.txt	0018	REFERENTIE_ZONDER_DOEL	dengan menggantungkan kertas pikrat jang warnanja kuning diatas	reference word without nearby table markers
SIG-000046	SOURCE_CANON/step3_canonical/page-0019.txt	0019	ABRUPTE_START	mudah dilarutkan dalam air. Dengan seketika direbus, endjima linase	first non-empty line starts with lowercase
SIG-000047	SOURCE_CANON/step3_canonical/page-0019.txt	0019	ABRUPT_END	12 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000048	SOURCE_CANON/step3_canonical/page-0020.txt	0020	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 13	last non-empty line lacks terminal punctuation
SIG-000049	SOURCE_CANON/step3_canonical/page-0020.txt	0020	REFERENTIE_ZONDER_DOEL	kurang, sering ubi djalar tampak diatas medja untuk menggantikannja.	reference word without nearby table markers
SIG-000050	SOURCE_CANON/step3_canonical/page-0021.txt	0021	ABRUPT_END	14 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000051	SOURCE_CANON/step3_canonical/page-0021.txt	0021	REFERENTIE_ZONDER_DOEL	diatas pagar2 pekarangan. Mereka semua termasuk keluarga	reference word without nearby table markers
SIG-000052	SOURCE_CANON/step3_canonical/page-0022.txt	0022	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 15	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000053	SOURCE_CANON/step3_canonical/page-0022.txt	0022	REFERENTIE_ZONDER_DOEL	Djika sebagian dari umbi tumbuh diatas tanah, akan berwarna	reference word without nearby table markers
SIG-000054	SOURCE_CANON/step3_canonical/page-0023.txt	0023	ABRUPTE_START	seperti warna dari umbi jang mentah. Dalam keadaan muda, umbi	first non-empty line starts with lowercase
SIG-000055	SOURCE_CANON/step3_canonical/page-0023.txt	0023	ABRUPT_END	16 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000056	SOURCE_CANON/step3_canonical/page-0024.txt	0024	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 17	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000057	SOURCE_CANON/step3_canonical/page-0024.txt	0024	REFERENTIE_ZONDER_DOEL	Kedele dapat dibeli dalam bentuk wose kering. Lihat benar,	reference word without nearby table markers
SIG-000058	SOURCE_CANON/step3_canonical/page-0025.txt	0025	ABRUPTE_START	m—-"' .	first non-empty line starts with lowercase
SIG-000059	SOURCE_CANON/step3_canonical/page-0025.txt	0025	ABRUPT_END	18 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000060	SOURCE_CANON/step3_canonical/page-0025.txt	0025	KOLOM_STRUCTUUR_ONZEKER	'I/ 4' . v E | ! i m .N&. | a y _'o	separator-like line
SIG-000061	SOURCE_CANON/step3_canonical/page-0025.txt	0025	KOLOM_STRUCTUUR_ONZEKER	l O A / P” “& | A	separator-like line
SIG-000062	SOURCE_CANON/step3_canonical/page-0025.txt	0025	KOLOM_STRUCTUUR_ONZEKER	> ' '_* F | . ' . . . N	separator-like line
SIG-000063	SOURCE_CANON/step3_canonical/page-0026.txt	0026	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 19	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000064	SOURCE_CANON/step3_canonical/page-0027.txt	0027	ABRUPTE_START	aman, karena tidak mengandung ratjun. Tetapi jang lainja banjak	first non-empty line starts with lowercase
SIG-000065	SOURCE_CANON/step3_canonical/page-0027.txt	0027	ABRUPT_END	20 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000066	SOURCE_CANON/step3_canonical/page-0028.txt	0028	ABRUPTE_START	tidak mengandung ratjun dalam kwantum jang membahajakan.	first non-empty line starts with lowercase
SIG-000067	SOURCE_CANON/step3_canonical/page-0028.txt	0028	ABRUPT_END	RESEP MASAKAN INDONESIA WARISANSUKARNO 21	last non-empty line lacks terminal punctuation
SIG-000068	SOURCE_CANON/step3_canonical/page-0029.txt	0029	ABRUPT_END	22 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000069	SOURCE_CANON/step3_canonical/page-0029.txt	0029	REFERENTIE_ZONDER_DOEL	hingga minjaknja mengambang diatas santan. Minjak ini lalu dapat	reference word without nearby table markers
SIG-000070	SOURCE_CANON/step3_canonical/page-0029.txt	0029	REFERENTIE_ZONDER_DOEL	disendoki. Endapan jang ada dibawah, dinamakan belondo, rasanja	reference word without nearby table markers
SIG-000071	SOURCE_CANON/step3_canonical/page-0030.txt	0030	ABRUPTE_START	lamanja, lalu diperas dengan alat dari kaju. Minjak jang dihasilkan	first non-empty line starts with lowercase
SIG-000072	SOURCE_CANON/step3_canonical/page-0030.txt	0030	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 23	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000073	SOURCE_CANON/step3_canonical/page-0031.txt	0031	ABRUPTE_START	menggoreng adalah jang putih. Selain dari itu ia banjak mengandung	first non-empty line starts with lowercase
SIG-000074	SOURCE_CANON/step3_canonical/page-0031.txt	0031	ABRUPT_END	24 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000075	SOURCE_CANON/step3_canonical/page-0031.txt	0031	REFERENTIE_ZONDER_DOEL	pada daftar berikut :	reference word without nearby table markers
SIG-000076	SOURCE_CANON/step3_canonical/page-0032.txt	0032	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 25	last non-empty line lacks terminal punctuation
SIG-000077	SOURCE_CANON/step3_canonical/page-0033.txt	0033	ABRUPT_END	26 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000078	SOURCE_CANON/step3_canonical/page-0034.txt	0034	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 27	last non-empty line lacks terminal punctuation
SIG-000079	SOURCE_CANON/step3_canonical/page-0034.txt	0034	REFERENTIE_ZONDER_DOEL	pisau dan tjara2 tertentu, seperti nenas, (lihat gambar). Ada jang dapat	reference word without nearby table markers
SIG-000080	SOURCE_CANON/step3_canonical/page-0034.txt	0034	REFERENTIE_ZONDER_DOEL	dengan kulitnja, seperti djambu dll., sebab dibawah kulit tersimpan	reference word without nearby table markers
SIG-000081	SOURCE_CANON/step3_canonical/page-0035.txt	0035	ABRUPT_END	28 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000082	SOURCE_CANON/step3_canonical/page-0035.txt	0035	REFERENTIE_ZONDER_DOEL	endjima jang disebut diatas. Buah2an lain mengandungnja sehingga	reference word without nearby table markers
SIG-000083	SOURCE_CANON/step3_canonical/page-0036.txt	0036	ABRUPTE_START	kering daripada mangga gedong, tidak berserat, baik untuk dibikin sale.	first non-empty line starts with lowercase
SIG-000084	SOURCE_CANON/step3_canonical/page-0036.txt	0036	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 29	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000085	SOURCE_CANON/step3_canonical/page-0037.txt	0037	ABRUPTE_START	basah dan tahan air. Rasanja manis, buahnja besar-besar, merah	first non-empty line starts with lowercase
SIG-000086	SOURCE_CANON/step3_canonical/page-0037.txt	0037	ABRUPT_END	30 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000087	SOURCE_CANON/step3_canonical/page-0037.txt	0037	KOLOM_STRUCTUUR_ONZEKER	4. Nenas |	separator-like line
SIG-000088	SOURCE_CANON/step3_canonical/page-0038.txt	0038	ABRUPTE_START	merah. Jang termasuk golongan ini adalah nenas tjibinong, nenas	first non-empty line starts with lowercase
SIG-000089	SOURCE_CANON/step3_canonical/page-0038.txt	0038	ABRUPT_END	RESEP MASAKAN INDONESIA WARISANSUKARNO 3I	last non-empty line lacks terminal punctuation
SIG-000090	SOURCE_CANON/step3_canonical/page-0039.txt	0039	ABRUPT_END	32 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000091	SOURCE_CANON/step3_canonical/page-0039.txt	0039	REFERENTIE_ZONDER_DOEL	tanahnja dapat diairi. Dibawah pohon duku biasanja ditanam orang	reference word without nearby table markers
SIG-000092	SOURCE_CANON/step3_canonical/page-0040.txt	0040	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 33	last non-empty line lacks terminal punctuation
SIG-000093	SOURCE_CANON/step3_canonical/page-0040.txt	0040	REFERENTIE_ZONDER_DOEL	Sebagian besar dari tanaman tersebut diatas dapat ditanam dengan	reference word without nearby table markers
SIG-000094	SOURCE_CANON/step3_canonical/page-0041.txt	0041	ABRUPT_END	34 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000095	SOURCE_CANON/step3_canonical/page-0041.txt	0041	REFERENTIE_ZONDER_DOEL	tinggi, sebab vitamin2 tersebut diatas tidak tahan panas.	reference word without nearby table markers
SIG-000096	SOURCE_CANON/step3_canonical/page-0041.txt	0041	REFERENTIE_ZONDER_DOEL	Dapat djuga sajuran dihampar rata diatas rak, djangan ditumpuk-	reference word without nearby table markers
SIG-000097	SOURCE_CANON/step3_canonical/page-0041.txt	0041	REFERENTIE_ZONDER_DOEL	Djangan ditaroh sajuran itu dibawah terik matahari. Tempat jang	reference word without nearby table markers
SIG-000098	SOURCE_CANON/step3_canonical/page-0042.txt	0042	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 35	last non-empty line lacks terminal punctuation
SIG-000099	SOURCE_CANON/step3_canonical/page-0043.txt	0043	ABRUPT_END	36 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000100	SOURCE_CANON/step3_canonical/page-0044.txt	0044	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 37	last non-empty line lacks terminal punctuation
SIG-000101	SOURCE_CANON/step3_canonical/page-0045.txt	0045	ABRUPT_END	38 MUSTIKARASA	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000102	SOURCE_CANON/step3_canonical/page-0046.txt	0046	ABRUPTE_START	lemak. Daging babi biasanja didjual orang bersama kulit dan lemak	first non-empty line starts with lowercase
SIG-000103	SOURCE_CANON/step3_canonical/page-0046.txt	0046	ABRUPT_END	RESEP MASAKAN INDONESIA WARISAN SUKARNO 39	last non-empty line lacks terminal punctuation; next file starts mid-sentence
SIG-000104	SOURCE_CANON/step3_canonical/page-0046.txt	0046	REFERENTIE_ZONDER_DOEL	jang ada dibawah kulit.	reference word without nearby table markers
SIG-000105	SOURCE_CANON/step3_canonical/page-0046.txt	0046	REFERENTIE_ZONDER_DOEL	dagingnja , hanja dibersihkan sadja dari bulunja. Lemak dibawah kulit	reference word without nearby table markers
SIG-000106	SOURCE_CANON/step3_canonical/page-0047.txt	0047	ABRUPTE_START	sematjam ini tidak diperiksa sebelum diperdagangkan. Dan hewan	first non-empty line starts with lowercase
SIG-000107	SOURCE_CANON/step3_canonical/page-0047.txt	0047	ABRUPT_END	40 MUSTIKARASA	last non-empty line lacks terminal punctuation
SIG-000108	SOURCE_CANON/step3_canonical/page-0047.txt	0047	REFERENTIE_ZONDER_DOEL	Dibawah ini ditjantumkan suatu "schema" seekor sapi dengan	reference word without nearby table markers
SIG-000109	SOURCE_CANON/step3_canonical/page-0048.txt	0048	ABRUPT_END	RESEP MASAKAN INDONESIA WARISANSUKARNO 41	last non-empty line lacks terminal punctuation; next file starts mid-sentence
